Ticker;CompanyName
MSTR;MICROSTRATEGY Inc
CVNA;CARVANA CO.
SMCI;Super Micro Computer, Inc.
DUOL;Duolingo, Inc.
SFM;Sprouts Farmers Market, Inc.
FIX;COMFORT SYSTEMS USA INC
RKLB;Rocket Lab USA, Inc.
SMMT;Summit Therapeutics Inc.
INSM;INSMED Inc
DOC;HEALTHPEAK PROPERTIES, INC.
ITCI;Intra-Cellular Therapies, Inc.
AUR;Aurora Innovation, Inc.
CRDO;Credo Technology Group Holding Ltd
COKE;Coca-Cola Consolidated, Inc.
PR;Permian Resources Corp
FTAI;FTAI Aviation Ltd.
PCVX;Vaxcyte, Inc.
APG;APi Group Corp
KNTK;Kinetik Holdings Inc.
HIMS;Hims & Hers Health, Inc.
HQY;HEALTHEQUITY, INC.
BRBR;BELLRING BRANDS, INC.
CRS;CARPENTER TECHNOLOGY CORP
ALTR;Altair Engineering Inc.
PWSC;POWERSCHOOL HOLDINGS, INC.
SUM;Summit Materials, Inc.
DRS;Leonardo DRS, Inc.
AAON;AAON, INC.
MLI;MUELLER INDUSTRIES INC
MTSI;MACOM Technology Solutions Holdings, Inc.
ONTO;ONTO INNOVATION INC.
ASTS;AST SpaceMobile, Inc.
ATI;ATI INC
HLNE;Hamilton Lane INC
IONQ;IonQ, Inc.
LNW;Light & Wonder, Inc.
GTLS;CHART INDUSTRIES INC
FLR;FLUOR CORP
EXLS;ExlService Holdings, Inc.
PSN;PARSONS CORP
GKOS;GLAUKOS Corp
APPF;APPFOLIO INC
SSB;SouthState Corp
SATS;EchoStar CORP
CVLT;COMMVAULT SYSTEMS INC
DDS;DILLARD'S, INC.
ONB;OLD NATIONAL BANCORP /IN/
FN;Fabrinet
EAT;BRINKER INTERNATIONAL, INC
ENSG;ENSIGN GROUP, INC
MTDR;Matador Resources Co
MDGL;MADRIGAL PHARMACEUTICALS, INC.
BECN;BEACON ROOFING SUPPLY INC
HALO;HALOZYME THERAPEUTICS, INC.
STEP;StepStone Group Inc.
RMBS;RAMBUS INC
SPXC;SPX Technologies, Inc.
CORT;CORCEPT THERAPEUTICS INC
RVMD;Revolution Medicines, Inc.
UFPI;UFP INDUSTRIES INC
SSD;Simpson Manufacturing Co., Inc.
SMR;NUSCALE POWER Corp
WTS;WATTS WATER TECHNOLOGIES INC
CHRD;Chord Energy Corp
WLLBW;Chord Energy Corp
CWST;CASELLA WASTE SYSTEMS INC
JXN;Jackson Financial Inc.
COOP;Mr. Cooper Group Inc.
TRNO;Terreno Realty Corp
SPSC;SPS COMMERCE INC
UPST;Upstart Holdings, Inc.
ZWS;Zurn Elkay Water Solutions Corp
LTH;Life Time Group Holdings, Inc.
SQSP;Squarespace, Inc.
